"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Country"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
	-2150								"JORDAN"	31.1	35.5		7.3									3																
	-2000						1		"SYRIA"	35.683	35.8			10		3												3										
	-2000								"TURKMENISTAN"	38	58.2	18	7.1	10	1	1						1		1			1	1						1		1		
	-1610						3	1351	"GREECE"	36.4	25.4																	3						3				
	-1566								"ISRAEL"	31.5	35.3			10								3																
	-1450								"ITALY"	35.5	25.5			10																								
	-1365						4		"SYRIA"	35.683	35.8											3												3				
	-1250								"ISRAEL"	32	35.5		6.5									3																
	-1050								"JORDAN"	29.6	35		6.2									3																
	-759								"ISRAEL"	33	35.5			11								3												3				
	-590						7		"LEBANON"	33.27	35.22																											
	-550								"GREECE"	37	22.5			10																								
	-525						8		"LEBANON"	33.56	35.37																											
	-480	9	29				3469		"GREECE"	37.9	23.5																											
	-479						9		"GREECE"	39.7	23.3		7	9														3										
	-432								"GREECE"	37	22.5											1		1										1		1		
	-426	6					10		"GREECE"	38.9	22.7		7.1	10	2500	4						3		3			2500	4						3		3		
	-400								"IRAN"	35.5	51.8		7.6									3												3				
	-373						11		"GREECE"	38.25	22.25		7.3	11		3						3		3				3						3		3		
	-364								"ITALY"	35	25	100										1												1				
	-330						12		"GREECE"	40	25		7	11																								
	-326	11					5282		"INDIA"	23	71																							1				
	-282								"TURKEY"	41	27			10																								
	-282								"GREECE"	38.5	22.5											1												1				
	-250								"KYRGYZSTAN"	42.7	77.5	20	6.7	9								3												3				
	-241								"SPAIN"	36	-8.5																											
	-227						3092		"GREECE"	36.3	28.3	100	7.2	10								1		1										1		1		
	-223	10					3472		"GREECE"																													
	-221								"EGYPT"	29.2	25.5			7								2												2				
	-217								"ITALY"	44.3	8.5											3																
	-216						5382		"SPAIN"	36.2	-7.17					1						2		1				1						2		1		
	-210						4281		"PORTUGAL"	36	-10.5																											
	-198						3473	5324	"GREECE"	36.404	25.396																											
	-193	2							"CHINA"	35.4	103.9		6.5									2												2				
	-186	2	22						"CHINA"	33.8	105.6		7		760	3											760	3										
	-177								"ITALY"			100										2		2										2		2		
	-70	6	1						"CHINA"	36.3	119		7	9	6000	4											6000	4										
	-63	10							"RUSSIA"	45.2	36.6	20	6.4	8								3												3				
	-60						4263		"PORTUGAL"	36	-10.7		8.5	10																				3				
	-58						3714		"ALBANIA"	41.3	19.5		6.6																									
	-50						3728		"GEORGIA"	43	41		5.5	8								2												2				
